Dataset,Vector size,Window,Min count,Epochs,Vocab size,Spearman rho,p-value,OOV pairs,Train time (s)
small,50,5,5,5,13838,0.09265386133610805,0.14246348964573674,101,6.52
small,100,5,5,5,13838,0.0778064318955937,0.21837340265671623,101,4.72
small,50,10,5,5,13838,0.12147209984712935,0.05412181908011854,101,7.08
small,50,5,2,5,26508,0.061705343034525906,0.2859219159502587,52,5.98
small,50,5,5,10,13838,0.18788640385045638,0.0027490474051209326,101,11.12
large,50,5,5,5,162898,0.6362302847074028,2.077818557932442e-39,18,613.96
large,100,5,5,5,162898,0.650294100150042,1.1913446245283676e-41,18,555.76
large,50,10,5,5,162898,0.6539066110731484,3.0263652213558535e-42,18,681.11
large,50,5,2,5,290287,0.6357040886166813,2.5074098198668358e-39,18,633.58
large,50,5,5,10,162898,0.6334754558563429,5.53552533092025e-39,18,1154.1
